CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
00129E,Ballarat Grammar,Ballarat and Queen's Anglican Grammar School,Private,45,www.bgs.vic.edu.au,201 Forest Street,,,,WENDOUREE,VIC,3355
00131M,Billanook College,Billanook College Limited,Private,70,www.billanook.vic.edu.au,197 - 199 Cardigan Road,,,,MOOROOLBARK,VIC,3138
00132K,Brighton Grammar School,Brighton Grammar School,Private,70,http://www.brightongrammar.vic.edu.au/,90 Outer Crescent,,,,BRIGHTON,VIC,3186
00135G,Carey Baptist Grammar School,Carey Baptist Grammar School Limited,Private,90,www.carey.com.au,349 Barkers Road,,,,KEW,VIC,3101
00136F,Caulfield Grammar School,Caulfield Grammar School,Private,80,http://www.caulfieldgs.vic.edu.au/,P O Box 610,,,,ELSTERNWICK,VIC,3185
00138D,Eltham College,Eltham College,Private,120,http://www.elthamcollege.vic.edu.au/,PO Box 40,,,,ELTHAM,VIC,3095
00139C,Fintona Girls School,Fintona Girls School,Private,25,http://www.fintona.vic.edu.au/,79 Balwyn Road,,,,BALWYN,VIC,3103
00140K,Firbank Grammar,Firbank Grammar School,Private,90,www.firbank.vic.edu.au,51 Outer Crescent,,,,BRIGHTON,VIC,3186
00141J,Camberwell Girls' Grammar School,Camberwell Anglican Girls' Grammar School,Private,50,www.cggs.vic.edu.au,2 Torrington Street,,,,CANTERBURY,VIC,3126
00142G,The Geelong College,The Geelong College,Private,50,http://www.geelongcollege.vic.edu.au/,PO Box 5,,,,GEELONG,VIC,3220
00143G,Geelong Grammar School,Geelong Grammar School,Private,160,www.ggs.vic.edu.au,50 Biddlecombe Avenue,,,,CORIO,VIC,3214
00144F,The Hamilton and Alexandra College,The Hamilton and Alexandra College,Private,40,http://www.hamiltoncollege.vic.edu.au/,PO Box 286,,,,HAMILTON,VIC,3300
00145E,Huntingtower School,Huntingtower School Association,Private,20,http://www.huntingtower.vic.edu.au/,PO Box 192,,,,MOUNT WAVERLEY,VIC,3149
00147C,Ivanhoe Grammar School,The Ivanhoe Grammar School,Private,160,http://www.ivanhoe.com.au,PO Box 91,,,,IVANHOE,VIC,3079
00149A,Kilvington Grammar School,Kilvington Grammar School Limited,Private,30,http://www.kilvington.vic.edu.au/,PO Box 144,,,,ORMOND,VIC,3204
00150G,Kingswood College,Kingswood College Limited,Private,100,www.kingswoodcollege.vic.edu.au,P O Box 166,,,,BOX HILL,VIC,3128
00151G,The Knox School,The Knox School Limited,Private,85,http://www.knox.vic.edu.au/,PO Box 4508,Knox City Shopping Centre,,,WANTIRNA,VIC,3152
00152F,Lauriston Girls' School,Lauriston Girls' School,Private,35,http://lauriston.vic.edu.au/,PO Box 8110,,,,ARMADALE,VIC,3143
00161E,Kent Institute Australia,Kent Institute Australia Pty Ltd,Private,"2,140",www.kent.edu.au,"Mezzanine, and Levels, 1, 5  and",10 Barrack Street,,,SYDNEY,NSW,2000
00172B,Mercury Colleges Pty Ltd,Mercury Colleges Pty. Limited,Private,"2,511",www.mercurycolleges.nsw.edu.au,PO Box 20241,World Square,,,SYDNEY,NSW,2002
00181A,"The Sydney Business & Travel Academy,  Sydney English Language Academy",Lan-Grove Office Training Centre Pty Ltd,Private,"4,818",www.sbta.com.au,Level 2,401 Sussex Street,,,SYDNEY,NSW,2000
00197D,"Stott's Colleges, Australian Surf Industry Training School, Front Cooking School, Melbourne Language Centre, Affectors Academy",Acknowledge Education Pty Ltd,Private,"11,954",,168 Exhibition Street,,,,Melbourne,VIC,3000
00202A,"Cairns Business College Limited, Cairns College of Education",Cairns Business College Limited,Private,120,www.cbcaustralia.com,PO Box 12283,,,,CAIRNS DELIVERY CENTRE,QLD,4870
00212K,,University of Canberra,Government,"5,412",https://www.canberra.edu.au,11 Kirinari Street,,,,BRUCE,ACT,2617
00213J,Queensland University of Technology,Queensland University of Technology (QUT),Government,"14,500",www.qut.edu.au,GPO Box 2434,,,,BRISBANE,QLD,4001
00219C,Central Queensland University,Central Queensland University,Government,"10,165",www.cqu.edu.au,Bruce Highway,,,,NORTH ROCKHAMPTON,QLD,4701
00231G,"Endeavour College of Natural Health, College of Natural Beauty, FIAFitnation",Australian College of Natural Medicine Pty Ltd,Private,100,www.endeavour.edu.au,Level G  2,230 Brunswick St,,,Fortitude Valley,QLD,4006
00233E,Griffith University,Griffith University,Government,"11,592",www.griffith.edu.au,International Office,Griffith University,170 Kessels Road,,Nathan,QLD,4111
00244B,University of Southern Queensland,University of Southern Queensland,Government,"3,800",http://www.usq.edu.au/study/international,West Street Post Office,Darling Heights,,,TOOWOOMBA,QLD,4350
00246M,"Think Education, APM College of Business and Communication, Australasian College of Natural Therapies, Billy Blue College of Design, Jansen Newman Institute, Southern School of Natural Therapies, William Blue College of Hospitality Management, Australian",Think: Colleges Pty Ltd,Private,"2,400",www.think.edu.au,1-37 Foveaux Street,,,,Surry Hill,NSW,2010
00253A,,The Australian Ballet School,Private,110,http://www.australianballetschool.com.au/,2 Kavanagh Street,,,,SOUTHBANK,VIC,3006
00257G,Photography Studies College (Melbourne),Photography Holdings Pty Ltd,Private,100,http://www.psc.edu.au,37  47 Thistlewaite Street,,,,South Melbourne,VIC,3205
00277D,,Royal Victorian Aero Club,Private,25,www.rvac.com.au,First Avenue,Moorabbin Airport,,,MENTONE,VIC,3194
00279B,Edith Cowan University,Edith Cowan University,Government,"8,380",www.ecu.edu.au,270 Joondalup Drive,,,,JOONDALUP,WA,6027
00289M,Navitas English,Navitas English Services Pty Ltd,Private,"1,389",www.navitasenglish.edu.au,Level 3,255 Elizabeth Street,,,Sydney,NSW,2000
00296A,"Chopperline Flight Training, Coastline Flight Training, Airways Aviation",Airways Aviation Education Pty Ltd,Private,240,www.airwaysaviation.com,Hangar 51,Lores Bonney Circuit,,,Billinga,QLD,4225
00300K,Charles Darwin University,Charles Darwin University (CDU),Government,"7,931",www.cdu.edu.au,PO Box,,,,DARWIN,NT,0909
00301J,Curtin University,Curtin University,Government,"15,650",www.curtin.edu.au,GPO Box U1987,,,,PERTH,WA,6845
00306D,,Marcus Oldham College,Private,30,http://www.marcusoldham.vic.edu.au/,Private Bag 116,Mail Centre,,,GEELONG,VIC,3221
00312F,SAE University College,SAE Institute Pty Ltd,Private,676,www.sae.edu.au,373-391 Ewingsdale Road,,,,BYRON BAY,NSW,2481
